"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U8";"QFN24_4X4X0P9_IVS";1;"MPU-6050";;;
2;"U2";"QFP50P900X900X160-48N";1;"STM32F303C8T6";;;
3;"R20,R9,R7,R2";"RC1206N_YAG";4;"330";;;
4;"R8";"RC1206N_YAG";1;"1k";;;
5;"R5";"RES_OY_OHM";1;"39";;;
6;"LED4,LED3,LED2,LED1,LED6,LED5";"LED_150060GS75000_WRE";6;"150060GS75000";;;
7;"J9";"HDRRA5W64P0X254_1X5_1270X250X288P";1;"PH1RB-05-UA_TEMP.";;;
8;"J8";"HDRRA4W64P0X254_1X4_1016X250X850P";1;"PH1RB-04-UA";;;
9;"J2,J4";"CONN_61300411121_WRE";2;"61300411121";;;
10;"CR2";"SOD123_DIO";1;"1N4148W-13-F";;;
11;"C5";"CAP_ECWFD_FORMINGQ_12.6LX06.9TX09.9H_PAN";1;"ECW-FD2J273KQ";;;
12;"U6";"SMTU2032LF";1;"SMTU2032-LF";;;
13;"TP1,TP13,TP2,TP15,TP16,TP4,TP21,TP5,TP17,TP22,TP8,TP19,TP11,TP14,TP25,TP20,TP12,TP23";"TestPoint_THTPad_D2.0mm_Drill1.0mm";18;"TestPoint_Probe";;;
14;"R11,R10,R23,R24,R22,R4,R6";"R_0603_1608Metric";7;"330";;;
15;"C21";"CAPC1608X90";1;"LD03ZD475MAB2A";;;
16;"C19,C15,C18,C13";"CAPC1608X90";4;"105";;;
17;"C3,C9,C25,C23,C4,C6,C14,C20,C12";"CAPC1608X90";9;"104";;;
18;"S4";"SW_TL3342F160QG";1;"TL3342F160QG";;;
19;"C24,C22";"CAPC1608X90";2;"103";;;
20;"LS1";"XDCR_AI-1027-TWT-3V-R";1;"AI-1027-TWT-3V-R";;;
21;"J10";"AMPHENOL_75160-196-03LF";1;"75160-196-03LF";;;
22;"DS1";"LCD_AOM12864A0-1.54WW-ANO";1;"AOM12864A0-1.54WW-ANO";;;
23;"J7";"MOLEX_105164-0001";1;"105164-0001";;;
24;"J1,J3";"691213710002";2;"691213710002";;;
25;"MT2,MT1";"XDCR_PEC11R-4215F-S0024";2;"PEC11R-4215F-S0024";;;
26;"U1";"OPTO_MOC3041SM";1;"MOC3041SM";;;
27;"S5,S6";"SW_1571527-1";2;"1571527-1";;;
28;"D1";"TO255P1040X460X1975-3";1;"BTA16-600B";;;
29;"J5";"AMPHENOL_54101-G0502LF";1;"54101-G0502LF";;;
30;"S7,S8";"SW_MSS-102559-14A-D";2;"MSS-102559-14A-D";;;
31;"R14,R17,R13,R15,R16,R12";"R_0603_1608Metric";6;"10K";;;
32;"U3";"MAX31865";1;"MAX31865 AMPLIFIER";;;
33;"R25,R26,R27,R1";"R_0603_1608Metric";4;"20R";;;
34;"Y1";"XTAL_ABM3-8.000MHZ-J4Q-T";1;"ABM3-8.000MHZ-J4Q-T";;;
35;"C8,C1,C7,C2";"CAPC1608X90";4;"20p";;;
36;"Y2";"XTAL_ABS07-32.768KHZ-T";1;"ABS07-32.768KHZ-T";;;
37;"U4";"SOT94P279X129-5N";1;"RT9193-33GB";;;
38;"U5";"SOT103P240X110-3N";1;"MMBT2222A-7-F";;;
39;"R19,R18";"R_0603_1608Metric";2;"100K";;;
40;"C10";"CAPC1608X90";1;"223";;;
41;"C11";"CAPC1608X90";1;"106";;;
